run,task,optimizer,projector,projection,effective_projection,switched_at_step,step,loss,elapsed_sec,chi_k_grad,chi_k_grad_ema,epoch_time_sec,epoch_time_sec_avg,subspace_usefulness/rho,accuracy,update/projection,update/raw_update_norm,update/projected_update_norm,update/alignment,update/eigvals,validation/loss,validation/accuracy,projector/subspace_pct,seed,run_label
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1,1.0842957496643066,0.194666799998231,,,0.194666799998231,0.194666799998231,,0.05999999865889549,none,0.15067718923091888,0.15067718923091888,1.0,,0.9600962731361389,0.0951,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,20,0.8952992432995847,1.1177494000003207,,,0.9230826000020897,0.5588747000001604,,0.2199999988079071,none,0.03200972080230713,0.03200972080230713,1.0,,0.8712391826629639,0.1854,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,40,0.8584022760391236,2.051537899998948,,,0.9337884999986272,0.683845966666316,,0.25999999046325684,none,0.026712335646152496,0.026712335646152496,1.0,,0.8494617796897889,0.2578,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,60,0.8271497070789338,2.968548799999553,,,0.917010900000605,0.7421371999998883,,0.29999998211860657,none,0.028411507606506348,0.028411507606506348,1.0,,0.820242778968811,0.3062,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,80,0.8117891162633896,3.883872300000803,,,0.9153235000012501,0.7767744600001606,,0.35999998450279236,none,0.030953338369727135,0.030953338369727135,1.0,,0.8027910863876343,0.3404,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,100,0.8043246120214462,4.812264799998957,,,0.9283924999981537,0.8020441333331595,,0.35999998450279236,none,0.02464529126882553,0.02464529126882553,1.0,,0.7917580974578857,0.3759,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,120,0.7793824225664139,5.72611759999927,,,0.9138528000003134,0.8180167999998957,,0.41999998688697815,none,0.030718253925442696,0.030718253925442696,1.0,,0.7763246112823486,0.3957,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,140,0.762181943655014,6.708224199999677,,,0.9821066000004066,0.8385280249999596,,0.35999998450279236,none,0.033175744116306305,0.033175744116306305,1.0,,0.7642947248458862,0.4053,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,160,0.7489160567522049,7.699107199998252,,,0.9908829999985755,0.8554563555553614,,0.2800000011920929,none,0.03474319353699684,0.03474319353699684,1.0,,0.7635920706748962,0.4103,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,180,0.7463808596134186,8.718785299999581,,,1.0196781000013289,0.8718785299999581,,0.4599999785423279,none,0.02985200099647045,0.02985200099647045,1.0,,0.7471701194763184,0.4349,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,200,0.7399503290653229,9.716411499997776,,,0.9976261999981944,0.8833101363634341,,0.3400000035762787,none,0.02884591370820999,0.02884591370820999,1.0,,0.7390438908576965,0.4394,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,220,0.7230016171932221,10.714766099998087,,,0.9983546000003116,0.8928971749998406,,0.47999998927116394,none,0.032034531235694885,0.032034531235694885,1.0,,0.7300485824584961,0.4566,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,240,0.7182491600513459,11.77218780000112,,,1.057421700003033,0.9055529076923938,,0.6800000071525574,none,0.03545033931732178,0.03545033931732178,1.0,,0.7361158623695373,0.4557,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,260,0.713848677277565,12.85595430000103,,,1.0837664999999106,0.9182824500000736,,0.6399999856948853,none,0.028858114033937454,0.028858114033937454,1.0,,0.726950796508789,0.4598,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,280,0.7025525629520416,13.814525599998888,,,0.9585712999978568,0.9209683733332592,,0.5399999618530273,none,0.03075045719742775,0.03075045719742775,1.0,,0.7158741131782532,0.4765,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,300,0.7006555825471878,14.793674500000634,,,0.9791489000017464,0.9246046562500396,,0.5199999809265137,none,0.03954159840941429,0.03954159840941429,1.0,,0.7344322759628296,0.4376,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,320,0.6859557390213012,15.81065839999792,,,1.0169838999972853,0.9300387294116423,,0.5600000023841858,none,0.03619762510061264,0.03619762510061264,1.0,,0.7162791819572448,0.4691,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,340,0.6965717494487762,16.846296699997765,,,1.035638299999846,0.935905372222098,,0.47999998927116394,none,0.037629932165145874,0.037629932165145874,1.0,,0.7072479113578797,0.4796,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,360,0.6820262849330903,17.924009499998647,,,1.0777128000008815,0.9433689210525603,,0.5199999809265137,none,0.03959956765174866,0.03959956765174866,1.0,,0.7001163564682007,0.4881,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,380,0.6646137177944184,18.917021000001114,,,0.9930115000024671,0.9458510500000556,,0.47999998927116394,none,0.03488617390394211,0.03488617390394211,1.0,,0.6976649686813354,0.4863,,42,baseline
